Zip,City,State,Region,District,Country
22654,"Star Tannery, VA, USA",VA,East,District #07,USA
22655,"Stephens City, VA, USA",VA,East,District #07,USA
22656,"Stephenson, VA, USA",VA,East,District #07,USA
22657,"Strasburg, VA, USA",VA,East,District #07,USA
22660,"Toms Brook, VA, USA",VA,East,District #07,USA
22663,"White Post, VA, USA",VA,East,District #07,USA
22664,"Woodstock, VA, USA",VA,East,District #07,USA
22701,"Culpeper, VA, USA",VA,East,District #07,USA
22709,"Aroda, VA, USA",VA,East,District #07,USA
22711,"Banco, VA, USA",VA,East,District #07,USA
22712,"Bealeton, VA, USA",VA,East,District #07,USA
22713,"Boston, VA, USA",VA,East,District #07,USA
22714,"Brandy Station, VA, USA",VA,East,District #07,USA
22715,"Brightwood, VA, USA",VA,East,District #07,USA
22716,"Castleton, VA, USA",VA,East,District #07,USA
22718,"Elkwood, VA, USA",VA,East,District #07,USA
22719,"Etlan, VA, USA",VA,East,District #07,USA
22720,"Goldvein, VA, USA",VA,East,District #07,USA
22722,"Haywood, VA, USA",VA,East,District #07,USA
22723,"Hood, VA, USA",VA,East,District #07,USA
22724,"Jeffersonton, VA, USA",VA,East,District #07,USA
22725,"Leon, VA, USA",VA,East,District #07,USA
22726,"Lignum, VA, USA",VA,East,District #07,USA
22727,"Madison, VA, USA",VA,East,District #07,USA
22728,"Midland, VA, USA",VA,East,District #07,USA
22729,"Mitchells, VA, USA",VA,East,District #07,USA
22730,"Oakpark, VA, USA",VA,East,District #07,USA
22731,"Pratts, VA, USA",VA,East,District #07,USA
22732,"Radiant, VA, USA",VA,East,District #07,USA
22733,"Rapidan, VA, USA",VA,East,District #07,USA
22734,"Remington, VA, USA",VA,East,District #07,USA
22735,"Reva, VA, USA",VA,East,District #07,USA
22736,"Richardsville, VA, USA",VA,East,District #07,USA
22737,"Rixeyville, VA, USA",VA,East,District #07,USA
22738,"Rochelle, VA, USA",VA,East,District #07,USA
22739,"Somerville, VA, USA",VA,East,District #07,USA
22740,"Sperryville, VA, USA",VA,East,District #07,USA
22741,"Stevensburg, VA, USA",VA,East,District #07,USA
22742,"Sumerduck, VA, USA",VA,East,District #07,USA
22743,"Syria, VA, USA",VA,East,District #07,USA
22746,"Viewtown, VA, USA",VA,East,District #07,USA
22747,"Washington, VA, USA",VA,East,District #07,USA
22748,"Wolftown, VA, USA",VA,East,District #07,USA
22749,"Woodville, VA, USA",VA,East,District #07,USA
22801,"Harrisonburg, VA, USA",VA,East,District #07,USA
22802,"Harrisonburg, VA, USA",VA,East,District #07,USA
22803,"Harrisonburg, VA, USA",VA,East,District #07,USA
22807,"Harrisonburg, VA, USA",VA,East,District #07,USA
22810,"Basye, VA, USA",VA,East,District #07,USA
22811,"Bergton, VA, USA",VA,East,District #07,USA
22812,"Bridgewater, VA, USA",VA,East,District #07,USA
22815,"Broadway, VA, USA",VA,East,District #07,USA
22820,"Criders, VA, USA",VA,East,District #07,USA
22821,"Dayton, VA, USA",VA,East,District #07,USA
22824,"Edinburg, VA, USA",VA,East,District #07,USA
22827,"Elkton, VA, USA",VA,East,District #07,USA
22830,"Fulks Run, VA, USA",VA,East,District #07,USA
22831,"Hinton, VA, USA",VA,East,District #07,USA
22832,"Keezletown, VA, USA",VA,East,District #07,USA
22833,"Lacey Spring, VA, USA",VA,East,District #07,USA
22834,"Linville, VA, USA",VA,East,District #07,USA
22835,"Luray, VA, USA",VA,East,District #07,USA
22840,"Mc Gaheysville, VA, USA",VA,East,District #07,USA
22841,"Mount Crawford, VA, USA",VA,East,District #07,USA
22842,"Mount Jackson, VA, USA",VA,East,District #07,USA
22843,"Mount Solon, VA, USA",VA,East,District #07,USA
22844,"New Market, VA, USA",VA,East,District #07,USA
22845,"Orkney Springs, VA, USA",VA,East,District #07,USA
22846,"Penn Laird, VA, USA",VA,East,District #07,USA
22847,"Quicksburg, VA, USA",VA,East,District #07,USA
